ts,team,p_title,p_final,p_sf,p_qf,p_advance,elo
2026-06-13T01:42:36.010576+00:00,ESP,0.17870,0.26870,0.38425,0.51975,0.98905,2157.0
2026-06-13T01:42:36.010576+00:00,ARG,0.13900,0.22415,0.33705,0.48380,0.96290,2115.0
2026-06-13T01:42:36.010576+00:00,FRA,0.09720,0.16665,0.28535,0.43665,0.93520,2063.0
2026-06-13T01:42:36.010576+00:00,ENG,0.06630,0.12345,0.21960,0.36495,0.95420,2024.0
2026-06-13T01:42:36.010576+00:00,BRA,0.05420,0.10635,0.20310,0.35010,0.93515,1991.0
2026-06-13T01:42:36.010576+00:00,COL,0.04450,0.09070,0.17050,0.31730,0.90100,1982.0
2026-06-13T01:42:36.010576+00:00,POR,0.04435,0.09195,0.17630,0.32315,0.90295,1989.0
2026-06-13T01:42:36.010576+00:00,NED,0.03685,0.07790,0.16455,0.31095,0.89435,1948.0
2026-06-13T01:42:36.010576+00:00,ECU,0.03660,0.07765,0.16885,0.29985,0.93430,1938.0
2026-06-13T01:42:36.010576+00:00,GER,0.03405,0.07455,0.16200,0.29565,0.93345,1932.0
2026-06-13T01:42:36.010576+00:00,MEX,0.02835,0.06690,0.16140,0.35395,0.99170,1888.0
2026-06-13T01:42:36.010576+00:00,SUI,0.02360,0.05535,0.12580,0.28905,0.94440,1891.0
2026-06-13T01:42:36.010576+00:00,TUR,0.02350,0.05475,0.11450,0.25050,0.81710,1911.0
2026-06-13T01:42:36.010576+00:00,JPN,0.02300,0.05440,0.12435,0.25670,0.84825,1906.0
2026-06-13T01:42:36.010576+00:00,NOR,0.02300,0.05350,0.12110,0.24825,0.79770,1914.0
2026-06-13T01:42:36.010576+00:00,CRO,0.02180,0.05140,0.10795,0.22040,0.88145,1912.0
2026-06-13T01:42:36.010576+00:00,BEL,0.02085,0.05015,0.10550,0.25440,0.90000,1894.0
2026-06-13T01:42:36.010576+00:00,URU,0.01940,0.04915,0.10420,0.20955,0.86895,1892.0
2026-06-13T01:42:36.010576+00:00,SEN,0.01285,0.03365,0.08125,0.18455,0.72095,1860.0
2026-06-13T01:42:36.010576+00:00,PAR,0.00995,0.02745,0.06490,0.16040,0.70265,1834.0
2026-06-13T01:42:36.010576+00:00,AUT,0.00865,0.02135,0.04995,0.11720,0.68905,1830.0
2026-06-13T01:42:36.010576+00:00,MAR,0.00825,0.02610,0.06960,0.16820,0.78345,1827.0
2026-06-13T01:42:36.010576+00:00,SCO,0.00595,0.01660,0.04960,0.12905,0.71675,1782.0
2026-06-13T01:42:36.010576+00:00,USA,0.00520,0.01455,0.04105,0.11280,0.61275,1726.0
2026-06-13T01:42:36.010576+00:00,KOR,0.00515,0.01735,0.05900,0.17020,0.94730,1744.7
2026-06-13T01:42:36.010576+00:00,IRN,0.00470,0.01535,0.04415,0.13430,0.76975,1772.0
2026-06-13T01:42:36.010576+00:00,CAN,0.00455,0.01695,0.05175,0.15955,0.82895,1750.7
2026-06-13T01:42:36.010576+00:00,AUS,0.00395,0.01345,0.03860,0.10395,0.59325,1777.0
2026-06-13T01:42:36.010576+00:00,ALG,0.00360,0.01190,0.02960,0.08400,0.58520,1772.0
2026-06-13T01:42:36.010576+00:00,SWE,0.00225,0.00670,0.02120,0.07515,0.55215,1712.0
2026-06-13T01:42:36.010576+00:00,PAN,0.00200,0.00770,0.02560,0.07540,0.62470,1730.0
2026-06-13T01:42:36.010576+00:00,EGY,0.00170,0.00640,0.02205,0.07905,0.65045,1696.0
2026-06-13T01:42:36.010576+00:00,UZB,0.00135,0.00510,0.01720,0.05280,0.49125,1714.0
2026-06-13T01:42:36.010576+00:00,CIV,0.00115,0.00500,0.02045,0.07035,0.64380,1695.0
2026-06-13T01:42:36.010576+00:00,CZE,0.00105,0.00380,0.01630,0.05195,0.48625,1682.3
2026-06-13T01:42:36.010576+00:00,BIH,0.00050,0.00285,0.01610,0.06765,0.66595,1632.3
2026-06-13T01:42:36.010576+00:00,JOR,0.00050,0.00230,0.00900,0.03680,0.40215,1680.0
2026-06-13T01:42:36.010576+00:00,KSA,0.00035,0.00085,0.00480,0.01855,0.33385,1576.0
2026-06-13T01:42:36.010576+00:00,COD,0.00035,0.00180,0.00665,0.02755,0.36350,1652.0
2026-06-13T01:42:36.010576+00:00,TUN,0.00020,0.00160,0.00660,0.03175,0.38395,1628.0
2026-06-13T01:42:36.010576+00:00,CPV,0.00015,0.00090,0.00415,0.02090,0.33650,1578.0
2026-06-13T01:42:36.010576+00:00,HAI,0.00010,0.00050,0.00235,0.01255,0.26245,1548.0
2026-06-13T01:42:36.010576+00:00,NZL,0.00010,0.00045,0.00350,0.02190,0.37575,1562.0
2026-06-13T01:42:36.010576+00:00,IRQ,0.00010,0.00090,0.00440,0.02080,0.24095,1607.0
2026-06-13T01:42:36.010576+00:00,QAT,0.00005,0.00020,0.00065,0.00715,0.25120,1421.0
2026-06-13T01:42:36.010576+00:00,GHA,0.00005,0.00025,0.00085,0.00650,0.20550,1510.0
2026-06-13T01:42:36.010576+00:00,RSA,0.00000,0.00035,0.00205,0.01050,0.22680,1504.0
2026-06-13T01:42:36.010576+00:00,CUW,0.00000,0.00000,0.00030,0.00355,0.16070,1434.0
2026-06-13T01:48:26.556803+00:00,ESP,0.17915,0.26855,0.38360,0.51980,0.98915,2157.0
2026-06-13T01:48:26.556803+00:00,ARG,0.13885,0.22420,0.33625,0.48245,0.96240,2115.0
2026-06-13T01:48:26.556803+00:00,FRA,0.09765,0.16660,0.28670,0.43735,0.93520,2063.0
2026-06-13T01:48:26.556803+00:00,ENG,0.06625,0.12350,0.21915,0.36520,0.95430,2024.0
2026-06-13T01:48:26.556803+00:00,BRA,0.05410,0.10715,0.20410,0.35115,0.93490,1991.0
2026-06-13T01:48:26.556803+00:00,POR,0.04455,0.09160,0.17545,0.32245,0.90320,1989.0
2026-06-13T01:48:26.556803+00:00,COL,0.04390,0.08970,0.17015,0.31730,0.90105,1982.0
2026-06-13T01:48:26.556803+00:00,ECU,0.03760,0.07905,0.17205,0.30210,0.93570,1938.0
2026-06-13T01:48:26.556803+00:00,NED,0.03630,0.07690,0.16225,0.30860,0.89445,1948.0
2026-06-13T01:48:26.556803+00:00,GER,0.03465,0.07545,0.16200,0.29670,0.93355,1932.0
2026-06-13T01:48:26.556803+00:00,MEX,0.02810,0.06660,0.16005,0.35290,0.99160,1888.0
2026-06-13T01:48:26.556803+00:00,TUR,0.02340,0.05505,0.11550,0.25145,0.81680,1911.0
2026-06-13T01:48:26.556803+00:00,SUI,0.02325,0.05545,0.12680,0.28980,0.94430,1891.0
2026-06-13T01:48:26.556803+00:00,JPN,0.02275,0.05375,0.12490,0.25905,0.84930,1906.0
2026-06-13T01:48:26.556803+00:00,NOR,0.02270,0.05350,0.11980,0.24785,0.79720,1914.0
2026-06-13T01:48:26.556803+00:00,CRO,0.02155,0.05140,0.10830,0.22095,0.88145,1912.0
2026-06-13T01:48:26.556803+00:00,BEL,0.02080,0.04970,0.10515,0.25370,0.89995,1894.0
2026-06-13T01:48:26.556803+00:00,URU,0.01985,0.04915,0.10335,0.20830,0.87110,1892.0
2026-06-13T01:48:26.556803+00:00,SEN,0.01235,0.03300,0.08060,0.18395,0.72240,1860.0
2026-06-13T01:48:26.556803+00:00,PAR,0.00985,0.02755,0.06535,0.16040,0.70245,1834.0
2026-06-13T01:48:26.556803+00:00,AUT,0.00895,0.02165,0.04995,0.11745,0.69150,1830.0
2026-06-13T01:48:26.556803+00:00,MAR,0.00845,0.02640,0.07045,0.16820,0.78300,1827.0
2026-06-13T01:48:26.556803+00:00,SCO,0.00590,0.01680,0.04965,0.12965,0.71620,1782.0
2026-06-13T01:48:26.556803+00:00,KOR,0.00530,0.01735,0.05890,0.16960,0.94690,1744.7
2026-06-13T01:48:26.556803+00:00,USA,0.00505,0.01445,0.04150,0.11270,0.61275,1726.0
2026-06-13T01:48:26.556803+00:00,IRN,0.00485,0.01575,0.04475,0.13345,0.77000,1772.0
2026-06-13T01:48:26.556803+00:00,CAN,0.00440,0.01640,0.05130,0.15905,0.82915,1750.7
2026-06-13T01:48:26.556803+00:00,AUS,0.00395,0.01370,0.03925,0.10495,0.59305,1777.0
2026-06-13T01:48:26.556803+00:00,ALG,0.00385,0.01245,0.03010,0.08385,0.58530,1772.0
2026-06-13T01:48:26.556803+00:00,SWE,0.00205,0.00645,0.02070,0.07265,0.55115,1712.0
2026-06-13T01:48:26.556803+00:00,PAN,0.00205,0.00790,0.02565,0.07570,0.62410,1730.0
2026-06-13T01:48:26.556803+00:00,EGY,0.00175,0.00645,0.02225,0.07970,0.65005,1696.0
2026-06-13T01:48:26.556803+00:00,UZB,0.00135,0.00505,0.01665,0.05245,0.49045,1714.0
2026-06-13T01:48:26.556803+00:00,CZE,0.00105,0.00385,0.01560,0.05195,0.48665,1682.3
2026-06-13T01:48:26.556803+00:00,CIV,0.00105,0.00490,0.02070,0.07155,0.64260,1695.0
2026-06-13T01:48:26.556803+00:00,BIH,0.00060,0.00300,0.01610,0.06775,0.66535,1632.3
2026-06-13T01:48:26.556803+00:00,COD,0.00040,0.00185,0.00695,0.02760,0.36255,1652.0
2026-06-13T01:48:26.556803+00:00,JOR,0.00035,0.00210,0.00880,0.03595,0.40230,1680.0
2026-06-13T01:48:26.556803+00:00,TUN,0.00025,0.00170,0.00705,0.03230,0.38540,1628.0
2026-06-13T01:48:26.556803+00:00,KSA,0.00025,0.00065,0.00445,0.01945,0.32920,1576.0
2026-06-13T01:48:26.556803+00:00,CPV,0.00015,0.00080,0.00385,0.02050,0.33685,1578.0
2026-06-13T01:48:26.556803+00:00,HAI,0.00010,0.00055,0.00235,0.01260,0.26315,1548.0
2026-06-13T01:48:26.556803+00:00,NZL,0.00010,0.00045,0.00355,0.02200,0.37500,1562.0
2026-06-13T01:48:26.556803+00:00,IRQ,0.00010,0.00080,0.00405,0.02015,0.24035,1607.0
2026-06-13T01:48:26.556803+00:00,QAT,0.00005,0.00020,0.00085,0.00710,0.25275,1421.0
2026-06-13T01:48:26.556803+00:00,GHA,0.00005,0.00025,0.00100,0.00655,0.20575,1510.0
2026-06-13T01:48:26.556803+00:00,RSA,0.00000,0.00025,0.00170,0.01015,0.22650,1504.0
2026-06-13T01:48:26.556803+00:00,CUW,0.00000,0.00000,0.00040,0.00355,0.16155,1434.0
